model_name,accuracy,precision,recall,f1,train_seconds,predict_seconds,ms_per_sample,parameter_count,epochs_ran,best_val_accuracy,source_result_file
fastText-style,0.8481,0.9210300429184549,0.788535733970237,0.8496486192220133,21.910407600000326,0.7135448999997607,0.07135448999997607,2560129,2,0.3569999933242798,
TextCNN,0.92,0.9871983210912907,0.8642292853205953,0.9216300940438872,155.81228329999976,5.147376400000212,0.5147376400000212,2806401,2,0.5541999936103821,
DistilBERT,0.9921,0.9921100917431193,0.9933860003674444,0.9927476360965758,,,,66000000,3,0.9921,D:\PromptInjectionDetection\outputs\results\dpi\dpi_experiment_20260323_071356.json
