model_name,accuracy,precision,recall,f1,train_seconds,predict_seconds,ms_per_sample,parameter_count,epochs_ran,best_val_accuracy,source_result_file
fastText-style,0.9616,0.9578280542986425,0.9722579459856696,0.9649890590809628,61.86508039999899,0.9534432000000379,0.09534432000000378,2560129,5,0.9589999914169312,
TextCNN,0.9753,0.9809329877823029,0.9735440014697777,0.9772245274319963,215.6559269999998,4.385531300000366,0.4385531300000366,2806401,3,0.9775999784469604,
DistilBERT,0.9921,0.9921100917431193,0.9933860003674444,0.9927476360965758,,,,66000000,3,0.9921,D:\PromptInjectionDetection\outputs\results\dpi\dpi_experiment_20260323_071356.json
